,발생유형,발생원인,기상특보,선종,톤수,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
0,1,정비불량,양호,어선,2194,2.7,15,4.9,1028.6,58,8.6,16.4,2.2,1.4,0.7,6.4,285
1,1,정비불량,양호,어선,48,4.8,259,5.9,1024,36,7.3,16.9,1.4,0.9,0.5,3,248
2,1,정비불량,풍랑주의보,유조선,190,11.9,316,15.6,1021.8,53,4.1,18.5,3.5,1.4,0.7,9.1,325
3,1,기타,황천5급,어선,139,12.9,33,15.6,1016.5,69,13,19.7,3.1,2.3,1.1,7.1,271
4,1,관리소홀,황천4급,어선,1.98,7.2,32,9,1019.8,74,15.8,18.7,2.4,1.6,0.8,6.4,273
5,1,관리소홀,양호,어선,3.73,7.1,6,9,1014.7,68,16.9,20.5,1.4,1,0.5,5.8,284
6,1,기타,양호,낚시어선,9.77,7.3,62,8.9,1026,79,19.7,19.4,1.7,1.1,0.6,5.8,248
7,1,관리소홀,양호,어선,8.55,8.3,-99,10.7,1021.3,99,16.3,15.4,1.2,0.8,0.4,5.3,100
8,1,기타,양호,어선,2.48,3.9,102,5.5,1026,50,18,22,1.5,1,0.5,10.7,215
9,1,관리소홀,양호,어선,4.95,8.6,13,10.2,1024.4,69,15.1,19.3,1.8,1.1,0.6,10.7,256
10,1,관리소홀,양호,어선,4.44,5,256,7.4,1017,45,15.4,17.7,2.2,1.1,0.6,7.1,142
11,1,기타,양호,어선,9.77,3.2,158,3.9,1013,59,21.7,21.1,0.5,0.4,0.2,3,358
12,1,기타,양호,어선,1.99,6,321,7.3,1018.3,77,19.1,21.3,1.5,1,0.5,5.3,146
13,1,관리소홀,양호,어선,98,5.1,53,6.5,1021.7,74,19.9,19.1,0.8,0.6,0.3,3.8,357
14,1,관리소홀,양호,어선,9.77,2.4,172,3.4,1023.8,71,18.5,18.5,0.2,0.1,0.1,2.9,139
15,1,적재불량,양호,여객선,4166,3.2,306,3.8,1006.3,88,21.4,20.3,1.1,0.7,0.4,9.1,17
16,1,기타,양호,모터보트,2,4.8,191,5.7,1004,94,26.8,25.2,1,0.6,0.3,3.8,156
17,1,기타,양호,어선,51,6.2,192,7.7,1006.8,92,24.5,23.8,1.6,1,0.5,2.6,33
18,1,화기취급부주의,양호,어선,6.67,9,205,11.2,1001.2,96,22.5,21.7,2.5,1.5,0.8,7.1,206
19,1,화기취급부주의,양호,어선,77,5.3,195,7,1008.8,90,22.5,20.1,1.1,0.7,0.4,4.9,51
20,1,정비불량,양호,어선,59,3.6,148,4.4,1009.5,95,19.2,18.9,0.4,0.3,0.1,7.1,107
21,1,기타,황천5급,기타,619,10.3,50,12.8,1015.1,83,16,15,2.9,1.7,0.9,6.4,257
22,1,기타,황천4급,어선,99.19,6,303,7.9,1008.7,84,10.1,7.8,2.1,1.4,0.7,2.4,297
